Sign in,Sign in
Please enter your email below and we will send you a new password.,Please enter your email below and we will send you a new password.
Email Adress ,Email Adress
Password ,Password
Forgot Your Password?,Forgot Your Password?
Login,Login
Back to Form Login,Back to Form Login
Send PassWord,Send PassWord
Create New Account,Create New Account
First Name ,First Name
Last Name ,Last Name
Email ,Email
New Password ,New Password
Confirm Password,Confirm Password
Back to Form Login,Back to Form Login
Sumbit,Sumbit
Sign in with,Sign in with
"<a href="http://developer.myspace.com/" target="_bank">Register</a>","<a href="http://developer.myspace.com/" target="_bank">Register</a>"
"<a href="http://developers.facebook.com/setup/" target="_bank">Register</a>","<a href="http://developers.facebook.com/setup/" target="_bank">Register</a>"
"<a href="http://msdn.microsoft.com/en-us/live//default.aspx" target="_bank">Register</a>","<a href="http://msdn.microsoft.com/en-us/live//default.aspx" target="_bank">Register</a>"
"<a href="http://twitter.com/apps/new" target="_bank">Register</a>","<a href="http://twitter.com/apps/new" target="_bank">Register</a>"
"<a href="https://developer.apps.yahoo.com/dashboard/createKey.html" target="_bank">Register</a>","<a href="https://developer.apps.yahoo.com/dashboard/createKey.html" target="_bank">Register</a>"
"<a href="https://foursquare.com/login?continue=%2Fdevelopers%2Fapps" target="_bank">Register</a>","<a href="https://foursquare.com/login?continue=%2Fdevelopers%2Fapps" target="_bank">Register</a>"
"<a href="https://www.google.com/accounts/ManageDomains" target="_bank">Register</a>","<a href="https://www.google.com/accounts/ManageDomains" target="_bank">Register</a>"
"<a href="https://www.linkedin.com/secure/developer" target="_bank">Register</a>","<a href="https://www.linkedin.com/secure/developer" target="_bank">Register</a>"
"Above customer login form","Above customer login form"
"Above customer registration form","Above customer registration form"
"Action","Action"
"Active","Active"
"Add Item","Add Item"
"Allow Everything","Allow Everything"
"Aol Login Configuration","Aol Login Configuration"
"Application ID","Application ID"
"Application Secret","Application Secret"
"Are you sure?","Are you sure?"
"Autho User Secret","Autho User Secret"
"Autho User Token","Autho User Token"
"Below customer login form","Below customer login form"
"Below customer registration form","Below customer registration form"
"CSV","CSV"
"Change status","Change status"
"Clavid Login Configuration","Clavid Login Configuration"
"Client API","Client API"
"Client ID","Client ID"
"Client Key","Client Key"
"Client Secret","Client Secret"
"Confirm password","Confirm password"
"Consumer Key","Consumer Key"
"Consumer Secret","Consumer Secret"
"Content","Content"
"Delete","Delete"
"Delete Item","Delete Item"
"Direction of Social login buttons on front-end","Direction of Social login buttons on front-end"
"Disabled","Disabled"
"Edit","Edit"
"Edit Item ","Edit Item "
"Enabled","Enabled"
"Error","Error"
"Facebook Login Configuration","Facebook Login Configuration"
"File","File"
"FoursQuare Login Configuration","FoursQuare Login Configuration"
"General Configuration","General Configuration"
"Google Login Configuration","Google Login Configuration"
"Header","Header"
"ID","ID"
"Item Content","Item Content"
"Item Information","Item Information"
"Item Manager","Item Manager"
"Item News","Item News"
"Item does not exist","Item does not exist"
"Item information","Item information"
"Item was successfully deleted","Item was successfully deleted"
"Item was successfully saved","Item was successfully saved"
"Items Manager","Items Manager"
"Left to Right","Left to Right"
"LinkedIn Login Configuration","LinkedIn Login Configuration"
"Livejournal Login Configuration","Livejournal Login Configuration"
"Login Notice","Login Notice"
"Login failed as you have not granted access.","Login failed as you have not granted access."
"Magestore Extension","Magestore Extension"
"MyOpenId Login Configuration","MyOpenId Login Configuration"
"MySpace Login Configuration","MySpace Login Configuration"
"Notice connect twitter account to customer","Notice connect twitter account to customer"
"Number of visible buttons","Number of visible buttons"
"Orange Login Configuration","Orange Login Configuration"
"Persona Login Configuration","Persona Login Configuration"
"Position of Social login buttons on front-end","Position of Social login buttons on front-end"
"Right to Left","Right to Left"
"Save And Continue Edit","Save And Continue Edit"
"Save Item","Save Item"
"Send Password To Customer","Send Password To Customer"
"Show popup when click login","Show popup when click login"
"Shown Direction","Shown Direction"
"Shown Position","Shown Position"
"Social Login","Social Login"
"Sort Order","Sort Order"
"Stack Enchange Login Configuration","Stack Enchange Login Configuration"
"Status","Status"
"Thank you for registering with %s.","Thank you for registering with %s."
"This is the number of button visible, others will be shown only when customer hovers "other login"","This is the number of button visible, others will be shown only when customer hovers "other login""
"Title","Title"
"Twitter Login Configuration","Twitter Login Configuration"
"Unable to find item to save","Unable to find item to save"
"Windows Live Login Configuration","Windows Live Login Configuration"
"Wordpress Login Configuration","Wordpress Login Configuration"
"XML","XML"
"Yahoo Login Configuration","Yahoo Login Configuration"
