" - Balance of gift card is 0"," - Balance of gift card is 0"
" card"," card"
" view config select status of gift card when sending e-mail to friend"," view config select status of gift card when sending e-mail to friend"
"%s - Balance of gift card is 0","%s - Balance del gift card is 0"
"-- Please Select --","-- Please Select --"
"167x47. Default logo, will be used in PDF and HTML documents.&lt;br /&gt; Allow jpeg,tiff,png file type","167x47. Default logo, will be used in PDF and HTML documents.&lt;br /&gt; Allow jpeg,tiff,png file type"
"Hidden characters in Gift code will be replaced by configured character. X is set as default.","Hidden characters in Gift code will be replaced by configured character. X is set as default."
"Note that is displayed in Gift card Email Delivery","Note that is displayed in Gift card Email Delivery"
"Pattern examples:<br/><strong>10-1000 </strong>: a range between 10 and 1000<br/><strong>25,75,100 </strong>: a dropdown with value 25, 75 and 100<br/><strong>100 </strong>: a static value of 100<br/><strong>Currency unit is base currency!</strong>","Pattern examples:<br/><strong>10-1000 </strong>: a range between 10 and 1000<br/><strong>25,75,100 </strong>: a dropdown with value 25, 75 and 100<br/><strong>100 </strong>: a static value of 100<br/><strong>Currency unit is base currency!</strong>"
"The number of Gift code’s prefixes shows in front end (this to avoid code stealing)","The number of Gift code’s prefixes shows in front end (this to avoid code stealing)"
"This to generate Gift code for Gift card product. See pattern examples:<br/><strong>[A.8] : 8 alpha chars<br/>[N.4] : 4 numerics<br/>[AN.6] : 6 alphanumeric<br/>GIFT-[A.4]-[AN.6] : GIFT-ADFA-12NF0O</strong>","This to generate Gift code for Gift card product. See pattern examples:<br/><strong>[A.8] : 8 alpha chars<br/>[N.4] : 4 numerics<br/>[AN.6] : 6 alphanumeric<br/>GIFT-[A.4]-[AN.6] : GIFT-ADFA-12NF0O</strong>"
"{store_name}: your store's name<br/>{store_url}: your store's url<br/>{store_address}: your store's address","{store_name}: your store's name<br/>{store_url}: your store's url<br/>{store_address}: your store's address"
"API User Redeem","API User Redeem"
"API User Update","API User Update"
"Accept refund when the order state is","Accept refund when the order state is"
"Action","Action"
"Active","Active"
"Active when order complete","Active when order complete"
"Add / Redeem a Gift Card","Agregar o redimir Gift Card"
"Add Gift Card","Add Gift Card"
"Add Gift Code","Add Gift Code"
"Add Gift Product","Add Gift Product"
"Add New Gift Product","Add New Gift Product"
"Add Template","Add Template"
"Add To Your List","Agregar a tu lista"
"Add a Gift Card","Add a Gift Card"
"Add/Redeem a Gift Card","Agregar/Redimir Gift Card"
"Added Date","Fecha Agregada"
"Adding Gift Card...","Adding Gift Card..."
"Admin Refund","Admin Refund"
"Admin Update","Admin Update"
"Allow Everything","Allow Everything"
"Allow Redeeming Gift card to Customer Store Credit (Magento Enterprise functionality)","Allow Redeeming Gift card to Customer Store Credit (Magento Enterprise functionality)"
"Allow shipping Gift card","Allow shipping Gift card"
"Allow viewing added message in Gift card’s image","Allow viewing added message in Gift card’s image"
"Amount","Amount"
"Apply","Apply"
"Apply Gift Card","Apply Gift Card"
"Apply...","Apply..."
"Are you sure?","Are you sure?"
"Attach printable PDF files to Emails","Attach printable PDF files to Emails"
"Attrib. Set Name","Attrib. Set Name"
"Attribute Set","Attribute Set"
"Auto change Gift code’s status when status of Gift card order changes","Auto change Gift code’s status when status of Gift card order changes"
"Auto refund when Product order is cancelled","Auto refund when Product order is cancelled"
"Auto refund when Product order is refunded online","Auto refund when Product order is refunded online"
"Auto send reminder Email before","Auto send reminder Email before"
"Auto send reminder Email before Gift card expires","Auto send reminder Email before Gift card expires"
"Auto update Gift card information","Auto update Gift card information"
"Back","Back"
"Balance","Balance"
"Balance Change","Cambiar Balance"
"Balance History","Historial del Balance "
"Balance must be greater than 0.","Balance must be greater than 0."
"CSV","CSV"
"Cannot send Gift card email to your friend!","Cannot send Gift card email to your friend!"
"Cannot send the gift card email.","Cannot send the gift card email."
"Capture Online","Capture Online"
"Carrier","Carrier"
"Catalog Product View (Gift Card)","Catalog Product View (Gift Card)"
"Change Balance","Change Balance"
"Change status","Change status"
"Characters Remaining: ","Cantidad de caracteres: "
"Check Gift Card","Revisar Gift Card"
"Check Gift Card Balance","Revisar el balance del Gift Card"
"Check Gift card information","Revisar información del Gift card"
"Check Shipping","Check Shipping"
"Check giftcard","Check giftcard"
"Click here","Click aquí"
"Comment","Comment"
"Comments","Comments"
"Conditions","Conditions"
"Conditions Serialized","Conditions Serialized"
"Continue","Continue"
"Create","Create"
"Create Product Settings","Create Product Settings"
"Create giftcard","Create giftcard"
"Created at","Created at"
"Created by %s","Created by %s"
"Created by Api user","Created by Api user"
"Created by customer %s","Created by customer %s"
"Created for order %s","Created for order %s"
"Credit","Credit"
"Credit GiftCard","Credit GiftCard"
"Currency","Currency"
"Custom message","Mensaje personalizado"
"Customer","Customer"
"Customer Credit","Customer Credit"
"Customer Credit Information","Customer Credit Information"
"Customer Email","Customer Email"
"Customer Gift Card Code","Customer Gift Card Code"
"Customer ID does not exist.","Customer ID does not exist."
"Customer Name","Customer Name"
"Customer Redeem","Customer Redeem"
"Customer Spend","Customer Spend"
"Date","Date"
"Day To Send","Enviar el día"
"Day To Send:","Enviar el día:"
"Default Gift card amount","Default Gift card amount"
"Default status of Gift code after Customers place Gift card order","Default status of Gift code after Customers place Gift card order"
"Delete","Delete"
"Delete Template","Delete Template"
"Description","Description"
"Description of Gift card value","Description of Gift card value"
"Disable Gift code created from this order","Disable Gift code created from this order"
"Disable Gift code when Gift card order is","Disable Gift code when Gift card order is"
"Disabled","Disabled"
"Display full information in cart","Display full information in cart"
"Download Sample CSV File","Download Sample CSV File"
"Duplicate","Duplicate"
"EXPIRATION DATE: ","EXPIRATION DATE: "
"Each template only generate a time","Each template only generate a time"
"Edit","Edit"
"Edit Gift Code ","Edit Gift Code "
"Edit Template","Edit Template"
"Edit Template  ","Edit Template  "
"Email","Email"
"Email Address:","Email Address:"
"Email Gift Card to Friend","Email Gift Card para un amigo"
"Email notification","Email notification"
"Email of Gift card Purchaser does not exist.","Email of Gift card Purchaser does not exist."
"Email of Gift card Recipient does not exist.","Email of Gift card Recipient does not exist."
"Email to Friend","Email to Friend"
"Email to a Friend","Email to a Friend"
"Empty or zero is no limitation.","Empty or zero is no limitation."
"Enable Gift card Credit balance","Enable Gift card Credit balance"
"Enable adding message","Enable adding message"
"Enable email notification","Enable email notification"
"Enable scheduling Gift card delivery","Enable scheduling Gift card delivery"
"Enabled","Enabled"
"Enter Amount:","Enter Amount:"
"Enter Gift Card Code","Ingrese el código Gift Card"
"Enter your Gift card code","Ingresa tu código Gift card"
"Exceed the number of users allowed","El número de usuarios permitidos ha sido excedido"
"Excl. Tax:","Excl. Tax:"
"Existed Gift Card Code","Existed Gift Card Code"
"Expiration Date","Expiration Date"
"Expired","Expira"
"Expired at","Expira el"
"Extra content","Extra content"
"FROM: ","DE: "
"For example, when a Gift card order is cancelled, Gift code’s status might auto change to expired","For example, when a Gift card order is cancelled, Gift code’s status might auto change to expired"
"From","De"
"GIFT CARD","GIFT CARD"
"General","General"
"General Information","General Information"
"Generate Gift codes","Generate Gift codes"
"Generate Manager","Generate Manager"
"Gift Card","Gift Card"
"Gift Card Amount","Gift Card Amount"
"Gift Card Code","Código Gift Card"
"Gift Card Code Detail","Detalle del código Gift Card"
"Gift Card Code Information","Información del código Gift Card"
"Gift Card Conditions","Gift Card Conditions"
"Gift Card Discount","Gift Card Discount"
"Gift Card Product Page","Gift Card Product Page"
"Gift Code","Gift Code"
"Gift Code Information","Gift Code Information"
"Gift Code Manager","Gift Code Manager"
"Gift Code News","Gift Code News"
"Gift Code does not exist","Gift Code does not exist"
"Gift Code was successfully deleted","Gift Code was successfully deleted"
"Gift Code was successfully saved","Gift Code was successfully saved"
"Gift Codes Information","Gift Codes Information"
"Gift Prodduct","Gift Prodduct"
"Gift Product Manager","Gift Product Manager"
"Gift Voucher","Gift Voucher"
"Gift Voucher ","Gift Voucher "
"Gift card","Gift card"
"Gift card ","Gift card "
"Gift card can not be used to purchase gift cards product","Gift card can not be used to purchase gift cards product"
"Gift card code","Gift card code"
"Gift card email has been sent successfully.","Gift card email has been sent successfully."
"Gift card note","Gift card note"
"Gift card notes","Gift card notes"
"Gift card was successfully added","Gift card fue agregado exitosamente"
"Gift card was successfully removed","Gift card fue removido exitosamente"
"Gift code %s already existed","Gift code %s already existed"
"Gift code Pattern","Gift code Pattern"
"Gift code of Gift card product expires after","Gift code of Gift card product expires after"
"Gift code pattern","Gift code pattern"
"Gift code value","Gift code value"
"Have a Gift card? %s to redeem it","Tienes un Gift card? %s aquí para redimirlo"
"History","History"
"ID","ID"
"If enabled, customers can redeem their Gift code into a Credit balance (View more in Customer Management)","If enabled, customers can redeem their Gift code into a Credit balance (View more in Customer Management)"
"If enabled, there will be a Gift card box for customers to apply gift code right in the Shopping cart page","If enabled, there will be a Gift card box for customers to apply gift code right in the Shopping cart page"
"If enabled, there will be a box for customers to write message sent along with the Gift card","If enabled, there will be a box for customers to write message sent along with the Gift card"
"Import","Import"
"Import File","Import File"
"Import Form","Import Form"
"Import Gift Code","Import Gift Code"
"Import and Print","Import and Print"
"Imported by %s","Imported by %s"
"In case Customers choose to ship Gift card","In case Customers choose to ship Gift card"
"Incl. Tax","Incl. Tax"
"Incl. Tax:","Incl. Tax:"
"Info Credit Giftcard","Info Credit Giftcard"
"Initial amount","Initial amount"
"Invalid card code. ","Invalid card code. "
"Invalid data","Invalid data"
"Invalid gift card code. ","Invalid gift card code. "
"Invalid pattern","Invalid pattern"
"Items %s to %s of %s total","Items %s to %s of %s total"
"Last comments","Last comments"
"Loading...","Loading..."
"Logo for PDF Print-outs","Logo for PDF Print-outs"
"MESSAGE: ","MESSAGE: "
"Magestore Extension","Magestore Extension"
"Manage Gift Card Product","Manage Gift Card Product"
"Manage Gift Code","Manage Gift Code"
"Manage Gift Product","Manage Gift Product"
"Manage Gift codes","Manage Gift codes"
"Manage Template","Manage Template"
"Mass status updated by %s","Mass status updated by %s"
"Mass update","Mass update"
"MassCreate","MassCreate"
"Maximum number of users per one Gift code","Maximum number of users per one Gift code"
"Maximum time(s) allowed to enter Gift code incorrectly","Maximum time(s) allowed to enter Gift code incorrectly"
"Message","Message"
"Message Information","Message Information"
"Message max length","Message max length"
"Message:","Message:"
"My Credit","My Credit"
"My credit balance: ","Balance de mi crédito: "
"N/A","N/A"
"Name","Name"
"Name in %s","Name in %s"
"Name:","Name:"
"New Gift Code","New Gift Code"
"New Template","New Template"
"New order status","New order status"
"Next","Next"
